"TeamCountry","Gold","Silver","Bronze","Total"
"United States of America",39,41,33,113
"People's Republic of China",38,32,18,88
"Japan",27,14,17,58
"Great Britain",22,21,22,65
"ROC",20,28,23,71
"Australia",17,7,22,46
"Germany",10,11,16,37
"France",10,12,11,33
"Italy",10,10,20,40
"Netherlands",10,12,14,36
"New Zealand",7,6,7,20
"Brazil",7,6,8,21
"Cuba",7,3,5,15
"Canada",7,6,11,24
"Republic of Korea",6,4,10,20
"Hungary",6,7,7,20
"Jamaica",4,1,4,9
"Norway",4,2,2,8
"Czech Republic",4,4,3,11
"Poland",4,5,5,14
"Kenya",4,4,2,10
"Islamic Republic of Iran",3,2,2,7
"Slovenia",3,1,1,5
"Switzerland",3,4,6,13
"Bulgaria",3,1,2,6
"Denmark",3,4,4,11
"Spain",3,8,6,17
"Sweden",3,6,0,9
"Belgium",3,1,3,7
"Uzbekistan",3,0,2,5
"Serbia",3,1,5,9
"Croatia",3,3,2,8
"Israel",2,0,2,4
"Georgia",2,5,1,8
"Bahamas",2,0,0,2
"Ecuador",2,1,0,3
"Ireland",2,0,2,4
"Greece",2,1,1,4
"Qatar",2,0,1,3
"Turkey",2,2,9,13
"Chinese Taipei",2,4,6,12
"Uganda",2,1,1,4
"Kosovo",2,0,0,2
"Romania",1,3,0,4
"Venezuela",1,3,0,4
"India",1,2,4,7
"Ukraine",1,6,12,19
"Belarus",1,3,3,7
